ID,Genus,Species,Date,Capture time,Plant,Place,Sex,IT (mm),Age.signals,Observer,Correct.cue,First.position,PER.sugar1,PER.water1,Success1,Water.exploring1,PER.sugar2,PER.water2,Success2,Water.exploring2,PER.sugar3,PER.water3,Success3,Water.exploring3,PER.sugar4,PER.water4,Success4,Water.exploring4,PER.sugar5,PER.water5,Success5,Water.exploring5,PER.sugar6,PER.water6,Success6,Water.exploring6,PER.sugar7,PER.water7,Success7,Water.exploring7,PER.sugar.test,PER.water.test,Success.test,Water.exploring.test,Notes,Experimental tube
D92,Bombus,Bombus terrestris,10/04/18,12:00,,Aznalcazar,Male,,No,Cristina,Blue,Left,28,81,Yes,Yes,5,16,Yes,Yes,13,29,Yes,Yes,6,12,Yes,Yes,7,24,Yes,Yes,10,19,Yes,Yes,11,29,Yes,Yes,3,11,Yes,Yes,,2.5
D93,Bombus,Bombus terrestris,10/04/18,12:00,,Aznalcazar,Male,,Yes,Cristina,Blue,Left,82,186,Yes,Yes,85,147,Yes,Yes,8,36,Yes,Yes,10,30,Yes,Yes,12,60,Yes,Yes,3,10,Yes,Yes,3,19,Yes,Yes,8,No,Yes,No,,2.5
D94,Andrena,Andrena flavipes,10/04/18,12:00,,Aznalcazar,Female,,No,Cristina,Blue,Left,18,36,Yes,Yes,34,75,Yes,Yes,38,15,No,Yes,6,20,Yes,Yes,48,90,Yes,Yes,7,24,Yes,Yes,95,10,No,Yes,35,106,Yes,Yes,,2.5
D95,Andrena,Andrena flavipes,10/04/18,12:00,,Aznalcazar,Female,,No,Cristina,Blue,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,8,No,Yes,20,10,No,Yes,12,35,Yes,Yes,78,11,No,Yes,,2.5
D96,Andrena,Andrena flavipes,10/04/18,12:00,,Aznalcazar,Female,,No,Cristina,Blue,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,53,Yes,Yes,19,84,Yes,Yes,16,8,No,Yes,10,32,Yes,Yes,,2.5
D4,Anthophora,Anthopora dispar,12/03/18,11:00,Lavandula sp.,Carambolo,Female,,No,MAC,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Refuses to eat,
D6,Bombus,Bombus terrestris,12/03/18,11:00,Lavandula sp.,Carambolo,Male,,No,MAC,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,
D1,Eucera,Eucera notata,12/03/18,11:00,Lavandula sp.,Carambolo,Male,,No,MAC,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Refuses to eat,
D2,Eucera,Eucera notata,12/03/18,11:00,Lavandula sp.,Carambolo,Male,,No,MAC,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,"Refuses to eat, tries to copulate the cue",
D3,Eucera,Eucera notata,12/03/18,11:00,Lavandula sp.,Carambolo,Male,,No,MAC,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Refuses to eat,
